Category,Name,Price,Url
Điện thoại di động,[Mã ELMALLDEC hoàn 5% xu đơn 3TR] Điện Thoại Vsmart Active 3 6GB/64GB - Hàng Chính Hãng,3139000,https://shopee.vn/-Mã-ELMALLDEC-hoàn-5-xu-đơn-3TR-Điện-Thoại-Vsmart-Active-3-6GB-64GB-Hàng-Chính-Hãng-i.193124085.4717365643
Điện thoại di động,"điện thoại Sony M2 - Sony Xperia M2 Aqua mới, Chơi Tiktok zalo youtube nghe gọi",699000,https://shopee.vn/điện-thoại-Sony-M2-Sony-Xperia-M2-Aqua-mới-Chơi-Tiktok-zalo-youtube-nghe-gọi-i.210121591.5463628958
Điện thoại di động,"điện thoại Sony Xperia XA1 Plus 2sim (4GB/32GB) Chính hãng, Màn hình 5.5inch, Chơi PUBG/LIÊN QUÂN mượt",1688000,https://shopee.vn/điện-thoại-Sony-Xperia-XA1-Plus-2sim-(4GB-32GB)-Chính-hãng-Màn-hình-5.5inch-Chơi-PUBG-LIÊN-QUÂN-mượt-i.210121591.7161548410
Điện thoại di động,"[BÁN LẺ = GIÁ SỈ] điện thoại Sony Xperia XZ1 (4GB/64GB) mới Chính hãng, Camera siêu nét",1949000,https://shopee.vn/-BÁN-LẺ-GIÁ-SỈ-điện-thoại-Sony-Xperia-XZ1-(4GB-64GB)-mới-Chính-hãng-Camera-siêu-nét-i.210121591.3364281057
Điện thoại di động,điện thoại Sony Xperia Z3 rom 32G Fullbox - Chơi Game nặng mượt,1050000,https://shopee.vn/điện-thoại-Sony-Xperia-Z3-rom-32G-Fullbox-Chơi-Game-nặng-mượt-i.210121591.3554273804
Điện thoại di động,điện thoại Sony Xperia Xz1 ram 4G/64G mới zin Chính Hãng,1699000,https://shopee.vn/điện-thoại-Sony-Xperia-Xz1-ram-4G-64G-mới-zin-Chính-Hãng-i.210121591.3254349355
Điện thoại di động,"điện thoại Sony Xperia Xzs ram 4G/64G mới Chính Hãng, chiến game siêu mượt",1488000,https://shopee.vn/điện-thoại-Sony-Xperia-Xzs-ram-4G-64G-mới-Chính-Hãng-chiến-game-siêu-mượt-i.210121591.7454175566
Điện thoại di động,"điện thoại Samsung Galaxy J7 Plus (2018) mới Chính hãng, Chiến Game nặng siêu mượt",2090000,https://shopee.vn/điện-thoại-Samsung-Galaxy-J7-Plus-(2018)-mới-Chính-hãng-Chiến-Game-nặng-siêu-mượt-i.210121591.7963590205
Điện thoại di động,"[BÁN LẺ = GIÁ SỈ] điện thoại Samsung Galaxy J7+ - Samsung J7 Plus ram 4G/32G mới Chính Hãng, Chiến PUBG/Liên Quân mượt",2050000,https://shopee.vn/-BÁN-LẺ-GIÁ-SỈ-điện-thoại-Samsung-Galaxy-J7-Samsung-J7-Plus-ram-4G-32G-mới-Chính-Hãng-Chiến-PUBG-Liên-Quân-mượt-i.210121591.4663592004
Điện thoại di động,Điện thoại iPhone 8 Plus Quốc tế 64GB Mới 99% Bảo Hành 12 Tháng,7490000,https://shopee.vn/Điện-thoại-iPhone-8-Plus-Quốc-tế-64GB-Mới-99-Bảo-Hành-12-Tháng-i.263421178.4945905512
